id,problem_text,problem_latex,answer_text,answer_latex,concept
1,다음 지수식을 간단히 하시오.,3^{2} \cdot 3^{-5},정답: 1,3^{-3},지수와 로그
2,다음 식의 값을 구하시오.,\left( \frac{2}{3} \right)^{-2},정답: 9,9,지수와 로그
3,지수방정식의 해를 구하시오.,2^{x+1}=16,정답: 3,x=3,지수와 로그
,,,,,
4,삼각함수의 값을 구하시오.,\sin\left(\frac{\pi}{6}\right),정답: \frac12,\frac12,삼각함수
5,삼각함수 식을 이용하여 값을 구하시오.,"\cos\theta=\frac{3}{5},\; \theta \text{는 제1사분면}",정답: \frac{4}{5},\sin\theta=\frac{4}{5},삼각함수
6,삼각함수 항등식을 이용해 다음 값을 구하시오.,\sin\theta\cos\theta = \frac12 \sin 2\theta,정답: 5,,삼각함수
,,,,,
7,등차수열의 일반항을 구하시오.,"a_1=5,\; d=3",정답: a_n = 3n+2,a_n = 3n+2,수열
8,등비수열의 공비를 구하시오.,"a_1=4,\; a_3=16",정답: 2,r=2,수열
9,수열의 합을 구하시오.,\sum_{k=1}^{10}(2k+1),정답: 120,120,수열
,,,,,
10,지수함수의 값을 구하시오.,"f(x)=2^{x},\; f(3)",정답: 8,8,지수함수와 로그함수
11,로그의 성질을 이용해 값을 구하시오.,\log_{2}8,정답: 3,3,지수함수와 로그함수
12,로그 방정식의 해를 구하시오.,\log_{3}(x+1)=2,정답: 8,x=8,지수함수와 로그함수
,,,,,
13,삼각함수 활용 문제: 빗변이 10이고 한 각의 크기가 30°일 때 높이를 구하시오.,h = 10\sin 30^\circ,정답: 5,5,삼각함수의 활용
14,각도 변환 문제: 다음 식의 값을 구하시오.,\sin(180^\circ - \theta),정답: \sin\theta,\sin\theta,삼각함수의 활용
15,삼각함수를 이용해 사다리의 길이를 구하시오.,\cos 40^\circ = \frac{5}{L},정답: \frac{5}{\cos 40^\circ},\frac{5}{\cos 40^\circ},삼각함수의 활용
,,,,,
16,"수열 {a_n}이 a₁=1, a_{n+1}=2a_n+1 (n=1, 2, 3, ...) 을 만족시킬 때, a₅의 값을 구하시오","a_1=1, a_{n+1}=2a_n+1 (n=1, 2, 3, \dots)\text{ 을 만족시킬 때, } a_5\text{ 의 값을 구하시오",정답: 31,31,수열
17,다음 식의 값을 구하시오. Σ_{k=1}^{10} (k²+k),\sum_{k=1}^{10} (k^2+k),정답: 440,440,수열
